State,Zipcode,Recipients_Total,Grants_Total,Total,Black,White,NotHisp_Latino,Hisp_Latino,geoid,Median_Income,Below_Poverty_Percent,Below_Poverty_Total,Updated
Florida,32424,1,48455.0,7514.0,2086.0,5346.0,6852.0,662.0,86000US32424,63958.0,16.55,906.0,No
Florida,32439,2,200367.57,10413.0,412.0,9180.0,9000.0,1413.0,86000US32439,66929.0,10.82,1126.0,No
Florida,32444,2,800877.95,22163.0,2081.0,19581.0,20868.0,1295.0,86000US32444,82273.0,10.16,2249.0,No
Florida,32446,2,311774.37,11115.0,2533.0,8358.0,10581.0,534.0,86000US32446,56927.0,14.34,1387.0,No
Florida,32448,1,32879.52,8405.0,3079.0,5081.0,8246.0,159.0,86000US32448,42355.0,27.83,2307.0,No
Florida,32456,1,85361.0,8036.0,1277.0,6650.0,7856.0,180.0,86000US32456,60346.0,10.59,836.0,No
Florida,32459,5,529252.58,17213.0,329.0,16578.0,16260.0,953.0,86000US32459,96987.0,6.09,1045.0,No
Florida,32460,1,130733.43,5690.0,1688.0,3902.0,5246.0,444.0,86000US32460,55425.0,15.67,537.0,No
Florida,32465,3,167549.07,7962.0,1518.0,6373.0,7446.0,516.0,86000US32465,54167.0,15.34,868.0,No
Florida,32501,4,961850.82,11134.0,6504.0,4655.0,10663.0,471.0,86000US32501,43352.0,30.84,3024.0,No
Florida,32502,20,10286784.84,3331.0,946.0,2592.0,3218.0,113.0,86000US32502,90694.0,18.25,608.0,No
Florida,32503,9,1150269.43,34233.0,10378.0,23019.0,32372.0,1861.0,86000US32503,62413.0,15.96,4687.0,No
Florida,32504,7,1711833.03,22562.0,4766.0,17696.0,21368.0,1194.0,86000US32504,71462.0,16.78,3745.0,No
Florida,32505,1,30731.25,26354.0,12242.0,13869.0,25231.0,1123.0,86000US32505,42576.0,22.81,5944.0,No
Florida,32506,4,521597.97,36664.0,7914.0,26457.0,34419.0,2245.0,86000US32506,60781.0,14.77,5391.0,No
Florida,32507,2,71992.25,31036.0,6012.0,24031.0,29397.0,1639.0,86000US32507,65768.0,13.69,4178.0,No
Florida,32514,5,457314.53,42444.0,9419.0,31292.0,38693.0,3751.0,86000US32514,59274.0,16.48,6605.0,No
Florida,32526,2,87446.24,37470.0,5962.0,30116.0,36309.0,1161.0,86000US32526,70477.0,6.0,2221.0,No
Florida,32533,1,32363.33,29713.0,5134.0,23881.0,28792.0,921.0,86000US32533,83685.0,5.27,1553.0,No
Florida,32534,3,1234319.52,14742.0,4023.0,10053.0,13725.0,1017.0,86000US32534,66546.0,13.72,2010.0,No
Florida,32536,6,539001.91,24105.0,3729.0,20201.0,21771.0,2334.0,86000US32536,81563.0,10.21,2451.0,No
Florida,32541,10,1418164.21,19066.0,718.0,16994.0,17307.0,1759.0,86000US32541,95000.0,8.43,1592.0,No
Florida,32547,5,635447.67,34330.0,5082.0,25325.0,29668.0,4662.0,86000US32547,61490.0,13.26,4503.0,No
Florida,32548,5,1821602.5,21708.0,3643.0,16799.0,19681.0,2027.0,86000US32548,69804.0,15.16,3268.0,No
Florida,32550,5,646581.73,7978.0,398.0,7245.0,7715.0,263.0,86000US32550,92813.0,8.26,653.0,No
Florida,32561,9,3038199.77,9925.0,126.0,9431.0,9574.0,351.0,86000US32561,120822.0,5.8,573.0,No
Florida,32563,1,74741.0,25912.0,823.0,24207.0,24793.0,1119.0,86000US32563,85900.0,5.86,1502.0,No
Florida,32566,7,818753.6,40232.0,3982.0,34487.0,36559.0,3673.0,86000US32566,87114.0,9.53,3823.0,No
Florida,32567,2,469069.0,3099.0,363.0,2750.0,3026.0,73.0,86000US32567,62452.0,13.52,418.0,No
Florida,32569,4,599347.97,12657.0,1526.0,10000.0,11119.0,1538.0,86000US32569,78701.0,7.75,981.0,No
Florida,32570,2,178298.99,31341.0,2788.0,27639.0,29746.0,1595.0,86000US32570,64775.0,13.79,4256.0,No
Florida,32571,8,1971823.81,35520.0,1350.0,33223.0,34063.0,1457.0,86000US32571,80223.0,8.96,3167.0,No
Florida,32578,4,377197.0,33130.0,2047.0,29475.0,31250.0,1880.0,86000US32578,103261.0,4.95,1636.0,No
Florida,32579,1,65337.0,10338.0,961.0,8583.0,9219.0,1119.0,86000US32579,93816.0,9.58,984.0,No
Florida,32583,1,192716.85,29365.0,3878.0,24637.0,27844.0,1521.0,86000US32583,67637.0,11.42,2722.0,No
Florida,32601,21,3311088.17,19363.0,4723.0,13536.0,17152.0,2211.0,86000US32601,74438.0,42.39,7652.0,No
Florida,32603,7,2819633.0,6949.0,690.0,5385.0,6066.0,883.0,86000US32603,42366.0,53.88,1978.0,No
Florida,32605,10,1257557.39,25556.0,3374.0,21447.0,22545.0,3011.0,86000US32605,94438.0,9.57,2439.0,No
Florida,32606,7,596582.63,23442.0,2394.0,18464.0,21476.0,1966.0,86000US32606,94444.0,7.11,1659.0,No
Florida,32607,8,1718086.11,30214.0,6639.0,21302.0,26115.0,4099.0,86000US32607,76472.0,31.33,9393.0,No
Florida,32608,17,3024798.6,49659.0,7916.0,34904.0,43935.0,5724.0,86000US32608,78203.0,27.26,13365.0,No
Florida,32609,6,792856.25,20105.0,8557.0,11107.0,18586.0,1519.0,86000US32609,48003.0,23.56,4492.0,No
Florida,32615,2,9535.83,13635.0,2897.0,10505.0,12599.0,1036.0,86000US32615,75217.0,12.09,1642.0,No
Florida,32618,1,80488.08,8264.0,1457.0,7042.0,8001.0,263.0,86000US32618,73425.0,12.22,1010.0,No
Florida,32625,1,90617.0,1686.0,0.0,1686.0,1686.0,0.0,86000US32625,58274.0,15.83,264.0,No
Florida,32626,2,529271.11,8782.0,992.0,7677.0,8378.0,404.0,86000US32626,39416.0,26.22,2297.0,No
Florida,32628,1,13714.0,5380.0,1338.0,4059.0,5138.0,242.0,86000US32628,47500.0,18.79,707.0,No
Florida,32640,2,109437.41,11299.0,2547.0,8639.0,10868.0,431.0,86000US32640,51419.0,16.07,1811.0,No
Florida,32641,1,29593.0,14959.0,10645.0,4390.0,14436.0,523.0,86000US32641,43961.0,27.9,4035.0,No
Florida,32643,2,78358.0,11666.0,1038.0,10507.0,10639.0,1027.0,86000US32643,72439.0,14.13,1646.0,No
