Zipcode,Total,Black,White,NotHisp_Latino,Hisp_Latino,geoid,Median_Income,Below_Poverty_Percent,Below_Poverty_Total,Updated
32323,137.0,0.0,137.0,137.0,0.0,86000US32323,N/A,17.52,24.0,No
32324,4716.0,2559.0,2130.0,4365.0,351.0,86000US32324,45167.0,31.94,1419.0,No
32326,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32327,28525.0,4629.0,23512.0,27523.0,1002.0,86000US32327,73726.0,11.61,2911.0,No
32328,3415.0,83.0,3302.0,3288.0,127.0,86000US32328,53000.0,20.33,680.0,No
32329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32330,651.0,291.0,356.0,445.0,206.0,86000US32330,42115.0,26.88,175.0,No
32331,4193.0,1367.0,2656.0,4111.0,82.0,86000US32331,42143.0,29.18,1184.0,No
32332,1077.0,937.0,130.0,950.0,127.0,86000US32332,31765.0,31.2,336.0,No
32333,11314.0,4866.0,6300.0,10891.0,423.0,86000US32333,59455.0,17.74,1890.0,No
32334,2024.0,8.0,1990.0,2024.0,0.0,86000US32334,43393.0,11.99,242.0,No
32335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32336,1128.0,499.0,619.0,1060.0,68.0,86000US32336,39196.0,26.54,298.0,No
32337,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32340,11374.0,5127.0,6092.0,10756.0,618.0,86000US32340,49786.0,28.98,2724.0,No
32341,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32343,3221.0,2844.0,344.0,3038.0,183.0,86000US32343,73571.0,4.9,157.0,No
32344,12356.0,4635.0,7623.0,11875.0,481.0,86000US32344,60928.0,17.62,1798.0,No
32345,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32346,1933.0,0.0,1933.0,1913.0,20.0,86000US32346,52976.0,19.76,382.0,No
32347,7609.0,530.0,6736.0,7240.0,369.0,86000US32347,59082.0,20.39,1489.0,No
32348,12935.0,3947.0,8818.0,11894.0,1041.0,86000US32348,48750.0,21.37,1975.0,No
32350,1272.0,107.0,1177.0,1164.0,108.0,86000US32350,49539.0,16.75,213.0,No
32351,18720.0,10258.0,7499.0,15870.0,2850.0,86000US32351,41367.0,30.81,5023.0,No
32352,6246.0,4380.0,1778.0,5608.0,638.0,86000US32352,56404.0,11.01,681.0,No
32353,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32355,244.0,0.0,244.0,234.0,10.0,86000US32355,62750.0,32.79,80.0,No
32356,0.0,0.0,0.0,0.0,0.0,86000US32356,N/A,N/A,N/A,No
32357,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32358,2021.0,391.0,1599.0,1828.0,193.0,86000US32358,60950.0,9.7,196.0,No
32359,1271.0,0.0,1235.0,1271.0,0.0,86000US32359,42470.0,15.74,200.0,No
32360,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32361,383.0,0.0,370.0,383.0,0.0,86000US32361,56648.0,0.0,0.0,No
32362,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
