geoid,Zipcode,Median_Income
86000US33326,33326,101440
86000US33327,33327,120806
86000US33328,33328,108851
86000US33330,33330,143066
86000US33331,33331,127193
86000US33332,33332,148153
86000US33334,33334,61776
86000US33351,33351,65297
86000US33401,33401,65106
86000US33403,33403,67172
86000US33404,33404,49577
86000US33405,33405,69838
86000US33406,33406,67214
86000US33407,33407,50842
86000US33408,33408,111875
86000US33409,33409,50200
86000US33410,33410,101540
86000US33411,33411,87086
86000US33412,33412,105746
86000US33413,33413,68909
86000US33414,33414,96694
86000US33415,33415,49070
86000US33417,33417,49123
86000US33418,33418,117151
86000US33426,33426,67447
86000US33428,33428,83680
86000US33430,33430,32392
86000US33431,33431,116021
86000US33432,33432,111719
86000US33433,33433,88015
86000US33434,33434,98813
86000US33435,33435,62492
86000US33436,33436,74680
86000US33437,33437,79953
86000US33438,33438,56250
86000US33440,33440,48678
86000US33441,33441,55036
86000US33442,33442,65732
86000US33444,33444,61806
86000US33445,33445,70997
86000US33446,33446,86661
86000US33449,33449,133111
86000US33455,33455,79258
86000US33458,33458,104681
86000US33460,33460,46700
86000US33461,33461,47457
86000US33462,33462,63067
86000US33463,33463,58693
86000US33467,33467,88627
86000US33469,33469,105817
86000US33470,33470,94490
86000US33471,33471,50972
86000US33472,33472,85152
86000US33473,33473,146714
86000US33476,33476,30458
86000US33477,33477,112944
86000US33478,33478,115594
86000US33480,33480,193750
86000US33483,33483,121838
86000US33484,33484,63219
86000US33486,33486,112719
86000US33487,33487,98919
86000US33493,33493,41518
86000US33496,33496,136283
86000US33498,33498,121316
86000US33503,33503,
86000US33510,33510,66282
86000US33511,33511,66996
86000US33513,33513,48199
86000US33514,33514,52778
86000US33521,33521,42000
86000US33523,33523,54123
86000US33525,33525,62439
86000US33527,33527,73136
86000US33534,33534,64640
86000US33538,33538,49648
86000US33540,33540,53646
86000US33541,33541,51066
86000US33542,33542,45793
86000US33543,33543,93199
86000US33544,33544,89679
86000US33545,33545,84570
86000US33547,33547,118833
86000US33548,33548,126784
86000US33549,33549,88082
86000US33556,33556,116552
86000US33558,33558,112988
86000US33559,33559,81485
86000US33563,33563,53672
86000US33565,33565,63750
86000US33566,33566,76492
86000US33567,33567,65859
86000US33569,33569,81926
86000US33570,33570,59730
86000US33572,33572,104277
86000US33573,33573,68279
86000US33576,33576,76324
86000US33578,33578,75368
86000US33579,33579,90962
86000US33584,33584,72113
86000US33585,33585,63705
86000US33592,33592,55292
86000US33594,33594,74306
86000US33596,33596,107984
86000US33597,33597,53387
86000US33598,33598,67648
86000US33602,33602,118676
86000US33603,33603,58554
86000US33604,33604,50730
86000US33605,33605,30842
86000US33606,33606,129766
86000US33607,33607,54605
86000US33609,33609,110109
86000US33610,33610,42122
86000US33611,33611,97317
86000US33612,33612,41617
86000US33613,33613,44956
86000US33614,33614,44049
86000US33615,33615,55415
86000US33616,33616,81098
86000US33617,33617,45611
86000US33618,33618,96310
86000US33619,33619,44698
86000US33620,33620,
86000US33621,33621,72604
86000US33624,33624,80283
86000US33625,33625,75513
86000US33626,33626,123539
86000US33629,33629,163491
86000US33634,33634,62564
86000US33635,33635,74282
86000US33637,33637,61167
86000US33647,33647,106075
86000US33701,33701,90878
86000US33702,33702,73283
86000US33703,33703,97596
86000US33704,33704,124757
86000US33705,33705,65873
86000US33706,33706,102708
86000US33707,33707,69233
86000US33708,33708,83996
86000US33709,33709,56933
86000US33710,33710,77995
86000US33711,33711,60061
86000US33712,33712,55407
86000US33713,33713,69638
86000US33714,33714,44471
86000US33715,33715,105607
86000US33716,33716,79207
86000US33744,33744,
86000US33755,33755,45884
86000US33756,33756,61314
86000US33759,33759,75554
86000US33760,33760,55985
86000US33761,33761,77270
86000US33762,33762,98681
86000US33763,33763,61490
86000US33764,33764,74711
86000US33765,33765,66250
86000US33767,33767,110833
86000US33770,33770,62366
86000US33771,33771,52327
86000US33772,33772,71237
86000US33773,33773,74461
86000US33774,33774,70613
86000US33776,33776,95840
86000US33777,33777,85602
86000US33778,33778,70732
86000US33781,33781,54043
86000US33782,33782,65755
86000US33785,33785,105375
86000US33786,33786,124500
86000US33801,33801,43914
86000US33803,33803,60627
86000US33805,33805,39460
86000US33809,33809,64392
86000US33810,33810,63522
86000US33811,33811,73892
86000US33812,33812,91094
86000US33813,33813,92760
86000US33815,33815,41558
86000US33823,33823,56367
86000US33825,33825,47460
86000US33827,33827,64415
86000US33830,33830,63622
86000US33834,33834,53583
86000US33837,33837,63528
86000US33838,33838,46200
86000US33839,33839,62833
86000US33841,33841,56838
86000US33843,33843,50191
