Zipcode,NotHisp_Latino,Hisp_Latino
33849,1103,68
33850,7369,955
33851,828,325
33852,15681,5418
33853,9174,2475
33854,130,164
33855,0,0
33856,263,7
33857,1416,961
33859,8767,2258
33860,18516,8377
33865,461,497
33867,277,50
33868,10428,1653
33870,18357,3927
33872,13776,2147
33873,8217,5945
33875,9960,1562
33876,4064,824
33877,618,0
33880,29697,10822
33881,29439,4901
33884,27773,4246
33890,2688,2085
33896,7914,3740
33897,14330,8422
33898,14416,2515
33901,16917,4447
33903,19592,3065
33904,26569,4517
33905,26897,10595
33907,16760,7669
33908,33149,3364
33909,22702,9048
33912,17126,1520
33913,22466,3031
33914,32013,6268
33916,16341,8566
33917,27613,2436
33919,27708,2622
33920,5642,601
33921,773,40
33922,3847,261
33924,157,38
33928,23657,1484
33930,225,705
33931,10348,218
33935,11283,12230
33936,13334,11183
33944,219,0
33945,0,0
33946,2092,12
33947,8813,283
33948,15446,1676
33950,21742,1557
33952,29483,3907
33953,6556,185
33954,9865,708
33955,10536,900
33956,3489,0
33957,7261,58
33960,631,41
33965,1465,270
33966,9125,940
33967,19443,5686
33971,17164,10777
33972,11305,4210
33973,10647,6514
33974,10249,7508
33976,9414,8831
33980,12802,540
33981,10695,712
33982,9631,760
33983,13896,1204
33990,27594,7063
33991,18250,4266
33993,20563,7342
34101,0,0
34102,10634,914
34103,12035,1094
34104,17024,7496
34105,15769,2242
34108,15251,1199
34109,19913,4338
34110,21089,2899
34112,21636,5428
34113,15229,6946
34114,14376,3847
34116,13579,22532
34117,10282,6757
34119,28550,4361
34120,24655,10843
34134,14413,579
34135,34696,12660
34137,627,24
34138,340,0
34139,187,17
34140,337,0
34141,58,9
34142,9650,20884
34145,15893,1941
34201,3830,167
34202,22172,2465
34203,29992,8979
34205,25576,6718
34207,26959,9333
34208,28450,12548
34209,32621,2551
34210,14815,1647
34211,8139,759
34212,18817,2427
34215,568,28
34216,713,11
34217,4916,163
34219,22028,2722
34221,37807,8550
34222,10456,1203
34223,17780,556
34224,15590,832
34228,7135,148
34229,6922,752
34231,27747,2594
34232,29593,5647
34233,15962,1805
34234,18904,3028
34235,12635,2668
34236,12357,860
34237,12123,5948
34238,18949,1100
34239,14198,1518
34240,10878,564
34241,14605,963
34242,7363,102
34243,29036,2865
34251,6383,732
34266,20725,11504
34268,157,0
34269,4372,145
34275,19870,602
34285,18147,506
34286,18475,1703
34287,25980,2634
34288,10285,1226
34289,3140,341
34291,4873,753
34292,15266,132
34293,38092,1442
34420,15654,2095
34428,8757,286
