State,Zipcode,Recipients_Total,Grants_Total
Florida,33914,8,2632986.99
Florida,33916,4,884354.93
Florida,33919,4,128217.75
Florida,33920,1,188262
Florida,33924,1,135793.52
Florida,33928,8,1053568.24
Florida,33931,13,1442198.09
Florida,33935,1,133267.47
Florida,33936,4,852638.22
Florida,33948,8,397389.5
Florida,33950,9,5030309.33
Florida,33952,2,588938
Florida,33953,1,318834.63
Florida,33954,1,54474.92
Florida,33955,1,314568.09
Florida,33956,2,80057.23
Florida,33957,13,2898181.26
Florida,33965,1,151756.84
Florida,33966,6,1173207.49
Florida,33967,1,315782.17
Florida,33971,4,420481.37
Florida,33972,1,1606.63
Florida,33976,1,142785.68
Florida,33980,1,32502
Florida,33982,1,7977.34
Florida,33990,11,1833327.15
Florida,33991,11,1008005.15
Florida,33993,3,1895168.75
Florida,34102,17,1868624.85
Florida,34103,3,1281667.5
Florida,34104,8,1932044.71
Florida,34105,3,131532.44
Florida,34108,9,2236473.44
Florida,34109,9,1361658.75
Florida,34110,8,1148539.98
Florida,34112,8,554986.27
Florida,34113,3,471257.07
Florida,34114,3,136959.27
Florida,34116,3,180782.05
Florida,34119,3,878736.5
Florida,34120,3,586304.04
Florida,34134,5,2373923.94
Florida,34135,11,1091084.24
Florida,34142,2,51917
Florida,34145,5,702641.78
Florida,34201,5,912816.34
Florida,34202,8,1469059.73
Florida,34203,6,762053.09
Florida,34205,9,468365.32
Florida,34207,6,1699168.75
Florida,34208,4,117527.08
Florida,34210,4,200191.54
Florida,34211,5,1872939.58
Florida,34215,1,151439
Florida,34217,8,1914081.06
Florida,34219,4,416656.3
Florida,34221,5,372682.63
Florida,34222,2,234996
Florida,34223,4,340970.15
Florida,34224,4,180324
Florida,34228,1,9234
Florida,34229,2,99627
Florida,34231,16,5128986.42
Florida,34232,13,2339821.49
Florida,34233,5,663810
Florida,34234,2,335972.35
Florida,34236,30,5407110.72
Florida,34237,3,313738.3
Florida,34238,4,952142.54
Florida,34239,6,1168275.8
Florida,34240,2,126471.6
Florida,34241,2,617881
Florida,34242,5,2687469.35
Florida,34243,9,848033
Florida,34251,1,121857
Florida,34260,1,20171
Florida,34275,4,307431.31
Florida,34285,9,1424578.79
Florida,34286,2,175062.37
Florida,34287,3,230175.34
Florida,34288,2,15585
Florida,34289,1,31539
Florida,34291,1,40575.04
Florida,34292,4,222594.48
Florida,34293,7,1045414.22
Florida,34420,1,9471
Florida,34428,2,89407.87
Florida,34429,7,1041661.1
Florida,34433,1,374953
Florida,34434,1,42419.18
Florida,34442,3,326138.27
Florida,34446,3,238264.54
Florida,34448,2,269512.96
Florida,34449,1,246634.45
Florida,34450,3,415203.48
Florida,34453,1,1334941
Florida,34461,1,51869.33
Florida,34470,6,688536.55
Florida,34471,7,1053601.76
Florida,34472,2,77211.04
Florida,34473,1,60005
Florida,34474,6,4716672.57
Florida,34475,4,231082.1
Florida,34476,1,36197.48
Florida,34480,2,629718
Florida,34488,1,239986
Florida,34491,2,322372.03
Florida,34601,3,149341.75
Florida,34606,9,997328.07
Florida,34607,1,155013
Florida,34608,2,804498.09
Florida,34609,3,132516.79
Florida,34613,4,2369804.97
Florida,34638,3,997380.65
Florida,34639,4,576377.45
Florida,34652,7,550616.69
Florida,34653,3,106373.96
Florida,34654,3,141966.12
Florida,34655,13,866638.89
Florida,34667,2,134536
Florida,34668,11,2309577.66
Florida,34669,1,69228.5
Florida,34677,4,1039114.7
Florida,34683,6,594679.09
Florida,34684,9,643251.9
Florida,34685,6,840490.01
Florida,34688,1,24955
Florida,34689,13,1488862.23
Florida,34690,1,21678
Florida,34691,2,255601.94
Florida,34695,9,1926295.42
Florida,34698,21,1758849.15
Florida,34711,17,2793373.11
Florida,34714,7,651205.05
Florida,34715,2,679636.69
Florida,34731,2,194787.33
Florida,34734,1,8087.9
Florida,34736,3,306495.93
Florida,34737,2,1643588.16
Florida,34741,12,3251983.05
Florida,34743,4,635333.78
Florida,34744,15,2313077.17
Florida,34746,26,9345026.07
Florida,34747,13,3464826.24
Florida,34748,11,1454318.44
Florida,34759,1,150557.64
Florida,34760,1,223452
Florida,34761,14,1213689.74
Florida,34769,10,1565423.97
Florida,34771,2,502529
Florida,34772,3,475620.05
Florida,34773,1,13551.94
Florida,34785,4,1156030
Florida,34786,9,1481708.86
Florida,34787,24,6376372.28
Florida,34788,5,2069709.74
Florida,34945,4,362742.92
Florida,34946,2,125318.31
Florida,34947,3,202899.63
Florida,34949,1,16530.52
Florida,34950,2,390146.02
Florida,34952,9,1462129.26
Florida,34953,6,339118.93
Florida,34956,1,108741
Florida,34957,6,313117.05
Florida,34972,2,248290.93
Florida,34982,4,190828.02
Florida,34983,7,776750.6
Florida,34984,3,198169.32
Florida,34986,1,103620
Florida,34987,1,40372.27
Florida,34990,6,970624.99
Florida,34994,9,1421637.22
Florida,34996,3,220615.2
Florida,34997,6,821784.2
